,molecule_chembl_id,canonical_smiles
202,CHEMBL1204162,Cl.O.c1ccc(CN2CCC(CCN=c3cc4c(n[nH]3)-c3ccccc3C4)CC2)cc1
203,CHEMBL134240,Nc1c2c(nc3ccc(Cl)cc13)OCCC2
204,CHEMBL132030,Nc1c2c(nc3cccc(F)c13)CCCC2
205,CHEMBL133448,Nc1c2c(nc3ncccc13)CCCC2
206,CHEMBL130880,Nc1c2c(nc3c1CCC3)CCCC2
207,CHEMBL1202874,Cl.Cl.c1ccc(CN2CCC(CCSc3ccc(-c4ccccc4)nn3)CC2)cc1
208,CHEMBL133441,Nc1c2c(nc3ncccc13)OCCC2
209,CHEMBL130427,Nc1c2c(nc3cnccc13)CCCC2
210,CHEMBL134154,COc1cccc2nc3c(c(N)c12)CCCO3
211,CHEMBL132260,Nc1c2c(nc3ccccc13)OCCC2
212,CHEMBL1204299,Cc1cc(=NCCC2CCN(Cc3ccccc3)CC2)[nH]nc1-c1ccccc1.Cl.Cl.O
213,CHEMBL1204296,CCc1cc(=NCCC2CCN(Cc3ccccc3)CC2)[nH]nc1-c1ccccc1.Cl.Cl.O
214,CHEMBL1202885,Cl.Cl.O.c1ccc(CN2CCC(CCNc3cc4c(nn3)-c3ccccc3CC4)CC2)cc1
215,CHEMBL337453,Nc1c2c(nc3cccc(Cl)c13)OCCC2
216,CHEMBL335922,Nc1c2c(nc3c1CCCO3)CCC2
217,CHEMBL132619,Cc1cccc2nc3c(c(N)c12)CCCO3
218,CHEMBL293316,C=CC[N+](C)(C)c1cccc(OC)c1.[Br-]
219,CHEMBL61515,C=CCC[N+](C)(C)c1ccccc1O.[Br-]
220,CHEMBL442361,COc1ccc([N+](C)(C)Cc2ccccc2)cc1.[Br-]
221,CHEMBL58034,C[N+](C)(C)Cc1cccc(O)c1.[Br-]
222,CHEMBL61965,COc1ccc(C(=O)COc2ccc([N+](C)(C)Cc3ccccc3)cc2)cc1OC.[Br-]
223,CHEMBL59790,COc1ccc(C(=O)CCc2ccc([N+](C)(C)C)cc2)cc1OC.[Br-]
224,CHEMBL62210,CC(=O)Oc1ccc([N+](C)(C)Cc2ccccc2)cc1.[Br-]
225,CHEMBL57003,C=CC[N+](C)(C)c1ccc(OC(C)=O)cc1.[Br-]
226,CHEMBL291783,C[N+](C)(Cc1ccccc1)c1ccccc1O.[Br-]
227,CHEMBL294498,C=CC[N+](C)(C)Cc1cccc(O)c1.[Br-]
228,CHEMBL300170,COc1ccc(C(=O)CCc2ccc([N+](C)(C)Cc3ccccc3)cc2)cc1OC.[Br-]
229,CHEMBL61312,C=CC[N+](C)(C)c1cccc(O)c1.[Br-]
230,CHEMBL293268,COc1cccc(C[N+](C)(C)Cc2ccccc2)c1.[Br-]
231,CHEMBL293751,COc1cccc([N+](C)(C)Cc2ccccc2)c1.[Br-]
232,CHEMBL59192,C=CC[N+](C)(C)c1cccc(OC(C)=O)c1.[Br-]
233,CHEMBL300176,COc1cccc(C[N+](C)(C)C)c1.[Br-]
234,CHEMBL61905,COc1ccccc1[N+](C)(C)Cc1ccccc1.[Br-]
235,CHEMBL58511,C=CC[N+](C)(C)c1ccc(OCC(=O)c2ccc(OC)c(OC)c2)cc1.[Br-]
236,CHEMBL59074,COc1ccc(C(=O)CCc2cccc([N+](C)(C)Cc3ccccc3)c2)cc1OC.[Br-]
237,CHEMBL294674,C=C(C)C[N+](C)(C)c1ccccc1O.[Br-]
238,CHEMBL57842,C=CC[N+](C)(C)c1ccc(OC)cc1.[Br-]
239,CHEMBL299898,CC(=O)Oc1ccccc1[N+](C)(C)Cc1ccccc1.[Br-]
240,CHEMBL60596,C=CC[N+](C)(C)c1ccccc1O.[Br-]
241,CHEMBL62031,COc1ccc(C(=O)COc2cccc([N+](C)(C)C)c2)cc1OC.[Br-]
242,CHEMBL60074,COc1ccc(C(=O)COc2cccc([N+](C)(C)Cc3ccccc3)c2)cc1OC.[Br-]
243,CHEMBL59490,C=CC[N+](C)(C)Cc1cccc(OC)c1.[Br-]
244,CHEMBL61180,C[N+](C)(Cc1ccccc1)Cc1cccc(O)c1.[Br-]
245,CHEMBL60180,COc1ccc(C(=O)COc2ccc([N+](C)(C)C)cc2)cc1OC.[Br-]
246,CHEMBL294152,C=C(C)C[N+](C)(C)c1ccccc1OC.[Br-]
247,CHEMBL305386,C=C(C)C[N+](C)(C)c1cccc(OC)c1.[Br-]
248,CHEMBL294897,C[N+](C)(Cc1ccccc1)c1ccc(O)cc1.[Br-]
249,CHEMBL58190,CC(=O)Oc1cccc([N+](C)(C)Cc2ccccc2)c1.[Br-]
250,CHEMBL60745,CC[N+](C)(C)c1cccc(O)c1.[Br-]
251,CHEMBL58252,C=CC[N+](C)(C)c1ccc(O)cc1.[Br-]
